2602|fish|CAPE HAKE FILLETS|30.00
2602|on-sale|CAPE HAKE FILLETS|30.00
2605|fish-specialities|BASA SELECTIONS|30.00
2608|desserts|CRUNCH SELECTION|30.00
2611|vegetarian|VEGETERIAN WELLINGTONS SELECTION|30.00
2612|poultry-specialities|BRITISH TURKEY SUPREMES|30.00
2619|poultry-specialities|STILTON & SOUR CREAM TURKEY BREAST|30.00
2622|fish-specialities|CRISPY BATTERED HADDOCK FILLET|30.00
2622|on-sale|CRISPY BATTERED HADDOCK FILLET|30.00
2630|gluten-free|CHINESE PLUM DUCK BREASTS|30.00
2630|poultry-specialities|CHINESE PLUM DUCK BREASTS|30.00
2650|buffet-starters|CHEESE AND BACON SHANTIS|30.00
2650|childrens|CHEESE AND BACON SHANTIS|30.00
2650|on-sale|CHEESE AND BACON SHANTIS|30.00
2974|childrens|HANDMADE FISHCAKES SELECTION|30.00
2974|fish-specialities|HANDMADE FISHCAKES SELECTION|30.00
2982|buffet-starters|CRISPY LEMON SOLE GOUJONS|30.00
2982|childrens|CRISPY LEMON SOLE GOUJONS|30.00
2982|fish-specialities|CRISPY LEMON SOLE GOUJONS|30.00
2995|gluten-free|GLUTEN FREE FISH FINGERS|30.00
3044|desserts|TRIO OF CHOCOLATE|30.00
3155|meat-poultry|SWEET CHILLI CHICKEN|30.00
3155|poultry-specialities|SWEET CHILLI CHICKEN|30.00
3158|fish-specialities|SOLE SELECTION|30.00
3162|meat-specialities|CLASSIC BBQ SELECTION|30.00
3165|childrens|GOURMET SALMON BURGERS|30.00
3165|fish-specialities|GOURMET SALMON BURGERS|30.00
3168|fish-specialities|GOURMET FISH SELECTION|30.00
3172|poultry-specialities|CHINESE CHICKEN KEBABS|30.00
3174|meat-poultry|PORK SELECTION|30.00
3174|meat-specialities|PORK SELECTION|30.00
3239|poultry-specialities|GOURMET KIEVS SELECTION|30.00
3243|fish|TURBOT FILLET|30.00
3243|on-sale|TURBOT FILLET|30.00
3246|meat-poultry|AGED WAGYU BEEF JOINTS|30.00
3246|meat-specialities|AGED WAGYU BEEF JOINTS|30.00
3248|meat-poultry|WAGYU SIRLOIN STEAK|30.00
3248|on-sale|WAGYU SIRLOIN STEAK|30.00
3273|poultry-specialities|CHICKEN & PORT WELLINGTON|30.00
3296|fish-specialities|HADDOCK SELECTION|30.00
3303|fish|SEA TROUT SUPREMES|30.00
3321|buffet-starters|ORIENTAL DIM SUM SELECTION|30.00
3333|buffet-starters|VEGETARIAN SPRING ROLLS|30.00
3333|hors-doeuvres|VEGETARIAN SPRING ROLLS|30.00
3337|buffet-starters|WEST COUNTRY PATES SELECTION|30.00
3337|gluten-free|WEST COUNTRY PATES SELECTION|30.00
3337|on-sale|WEST COUNTRY PATES SELECTION|30.00
3423|meat-poultry|ANGUS STEAK BEEFBURGERS SELECTION|30.00
3423|meat-specialities|ANGUS STEAK BEEFBURGERS SELECTION|30.00
3425|meat-specialities|OUTDOOR REARED STUFFED PORK CHOPS|30.00
